type,name,size,i,time,verification
sorting,nativo,512,23,0.000065,1
sorting,nativo,512,24,0.000080,1
sorting,nativo,512,25,0.000065,1
sorting,nativo,512,26,0.000063,1
sorting,nativo,512,27,0.000063,1
sorting,nativo,512,28,0.000063,1
sorting,nativo,512,29,0.000064,1
sorting,nativo,512,30,0.000011,1
sorting,nativo,512,31,0.000010,1
sorting,nativo,512,32,0.000010,1
sorting,nativo,512,33,0.000012,1
sorting,nativo,512,34,0.000010,1
sorting,nativo,512,35,0.000011,1
sorting,nativo,512,36,0.000011,1
sorting,nativo,512,37,0.000010,1
sorting,nativo,512,38,0.000011,1
sorting,nativo,512,39,0.000011,1
sorting,nativo,1024,0,0.000333,1
sorting,nativo,1024,1,0.000329,1
sorting,nativo,1024,2,0.000331,1
sorting,nativo,1024,3,0.000326,1
sorting,nativo,1024,4,0.000333,1
sorting,nativo,1024,5,0.000329,1
sorting,nativo,1024,6,0.000329,1
sorting,nativo,1024,7,0.000325,1
sorting,nativo,1024,8,0.000315,1
sorting,nativo,1024,9,0.000316,1
sorting,nativo,1024,10,0.000265,1
sorting,nativo,1024,11,0.000274,1
sorting,nativo,1024,12,0.000263,1
sorting,nativo,1024,13,0.000265,1
sorting,nativo,1024,14,0.000263,1
sorting,nativo,1024,15,0.000264,1
sorting,nativo,1024,16,0.000263,1
sorting,nativo,1024,17,0.000268,1
sorting,nativo,1024,18,0.000259,1
sorting,nativo,1024,19,0.000262,1
sorting,nativo,1024,20,0.000160,1
sorting,nativo,1024,21,0.000157,1
sorting,nativo,1024,22,0.000158,1
sorting,nativo,1024,23,0.000156,1
sorting,nativo,1024,24,0.000155,1
sorting,nativo,1024,25,0.000155,1
sorting,nativo,1024,26,0.000156,1
sorting,nativo,1024,27,0.000157,1
sorting,nativo,1024,28,0.000155,1
sorting,nativo,1024,29,0.000155,1
sorting,nativo,1024,30,0.000018,1
sorting,nativo,1024,31,0.000018,1
sorting,nativo,1024,32,0.000017,1
sorting,nativo,1024,33,0.000017,1
sorting,nativo,1024,34,0.000017,1
sorting,nativo,1024,35,0.000017,1
sorting,nativo,1024,36,0.000017,1
sorting,nativo,1024,37,0.000017,1
sorting,nativo,1024,38,0.000017,1
sorting,nativo,1024,39,0.000017,1
sorting,nativo,2048,0,0.000681,1
sorting,nativo,2048,1,0.000677,1
sorting,nativo,2048,2,0.000651,1
sorting,nativo,2048,3,0.000651,1
sorting,nativo,2048,4,0.000650,1
sorting,nativo,2048,5,0.000781,1
sorting,nativo,2048,6,0.000634,1
sorting,nativo,2048,7,0.000645,1
sorting,nativo,2048,8,0.000628,1
sorting,nativo,2048,9,0.000662,1
sorting,nativo,2048,10,0.000518,1
sorting,nativo,2048,11,0.000499,1
sorting,nativo,2048,12,0.000503,1
sorting,nativo,2048,13,0.000499,1
sorting,nativo,2048,14,0.000503,1
sorting,nativo,2048,15,0.000499,1
sorting,nativo,2048,16,0.000499,1
sorting,nativo,2048,17,0.000485,1
sorting,nativo,2048,18,0.000481,1
sorting,nativo,2048,19,0.000482,1
sorting,nativo,2048,20,0.000392,1
sorting,nativo,2048,21,0.000334,1
sorting,nativo,2048,22,0.000332,1
sorting,nativo,2048,23,0.000323,1
sorting,nativo,2048,24,0.000324,1
sorting,nativo,2048,25,0.000325,1
sorting,nativo,2048,26,0.000324,1
sorting,nativo,2048,27,0.000323,1
sorting,nativo,2048,28,0.000324,1
sorting,nativo,2048,29,0.000319,1
sorting,nativo,2048,30,0.000028,1
sorting,nativo,2048,31,0.000027,1
sorting,nativo,2048,32,0.000028,1
sorting,nativo,2048,33,0.000027,1
sorting,nativo,2048,34,0.000027,1
sorting,nativo,2048,35,0.000028,1
sorting,nativo,2048,36,0.000027,1
sorting,nativo,2048,37,0.000027,1
sorting,nativo,2048,38,0.000028,1
sorting,nativo,2048,39,0.000027,1
sorting,nativo,4096,0,0.001235,1
sorting,nativo,4096,1,0.001216,1
sorting,nativo,4096,2,0.001210,1
sorting,nativo,4096,3,0.001180,1
sorting,nativo,4096,4,0.001183,1
sorting,nativo,4096,5,0.001186,1
sorting,nativo,4096,6,0.001149,1
sorting,nativo,4096,7,0.001150,1
sorting,nativo,4096,8,0.001201,1
sorting,nativo,4096,9,0.001126,1
sorting,nativo,4096,10,0.000929,1
sorting,nativo,4096,11,0.000921,1
sorting,nativo,4096,12,0.000885,1
sorting,nativo,4096,13,0.000887,1
sorting,nativo,4096,14,0.000887,1
sorting,nativo,4096,15,0.000867,1
sorting,nativo,4096,16,0.000890,1
sorting,nativo,4096,17,0.000886,1
sorting,nativo,4096,18,0.000866,1
sorting,nativo,4096,19,0.000871,1
sorting,nativo,4096,20,0.000581,1
sorting,nativo,4096,21,0.000579,1
sorting,nativo,4096,22,0.000579,1
sorting,nativo,4096,23,0.000578,1
sorting,nativo,4096,24,0.000576,1
sorting,nativo,4096,25,0.000575,1
sorting,nativo,4096,26,0.000582,1
sorting,nativo,4096,27,0.000621,1
sorting,nativo,4096,28,0.000591,1
sorting,nativo,4096,29,0.000578,1
sorting,nativo,4096,30,0.000305,1
sorting,nativo,4096,31,0.000296,1
sorting,nativo,4096,32,0.000296,1
sorting,nativo,4096,33,0.000295,1
sorting,nativo,4096,34,0.000295,1
sorting,nativo,4096,35,0.000294,1
sorting,nativo,4096,36,0.000294,1
sorting,nativo,4096,37,0.000293,1
sorting,nativo,4096,38,0.000296,1
sorting,nativo,4096,39,0.000301,1
sorting,nativo,8192,0,0.002449,1
sorting,nativo,8192,1,0.002429,1
sorting,nativo,8192,2,0.002459,1
sorting,nativo,8192,3,0.002664,1
sorting,nativo,8192,4,0.002401,1
sorting,nativo,8192,5,0.002390,1
sorting,nativo,8192,6,0.002433,1
sorting,nativo,8192,7,0.002811,1
sorting,nativo,8192,8,0.002416,1
sorting,nativo,8192,9,0.002412,1
sorting,nativo,8192,10,0.002014,1
sorting,nativo,8192,11,0.002158,1
sorting,nativo,8192,12,0.001985,1
sorting,nativo,8192,13,0.001996,1
sorting,nativo,8192,14,0.001981,1
sorting,nativo,8192,15,0.002136,1
sorting,nativo,8192,16,0.001982,1
sorting,nativo,8192,17,0.001995,1
sorting,nativo,8192,18,0.001992,1
sorting,nativo,8192,19,0.001998,1
sorting,nativo,8192,20,0.001405,1
sorting,nativo,8192,21,0.001409,1
sorting,nativo,8192,22,0.001402,1
sorting,nativo,8192,23,0.001397,1
sorting,nativo,8192,24,0.001419,1
sorting,nativo,8192,25,0.001437,1
sorting,nativo,8192,26,0.001407,1
sorting,nativo,8192,27,0.001397,1
sorting,nativo,8192,28,0.001423,1
sorting,nativo,8192,29,0.001400,1
sorting,nativo,8192,30,0.000912,1
sorting,nativo,8192,31,0.000808,1
sorting,nativo,8192,32,0.000779,1
sorting,nativo,8192,33,0.000778,1
sorting,nativo,8192,34,0.000803,1
sorting,nativo,8192,35,0.000782,1
sorting,nativo,8192,36,0.000800,1
sorting,nativo,8192,37,0.000801,1
sorting,nativo,8192,38,0.000807,1
sorting,nativo,8192,39,0.000781,1
sorting,nativo,16384,0,0.005455,1
sorting,nativo,16384,1,0.005444,1
sorting,nativo,16384,2,0.005680,1
sorting,nativo,16384,3,0.005414,1
sorting,nativo,16384,4,0.005617,1
sorting,nativo,16384,5,0.005361,1
sorting,nativo,16384,6,0.005468,1
sorting,nativo,16384,7,0.005387,1
sorting,nativo,16384,8,0.005368,1
sorting,nativo,16384,9,0.005351,1
sorting,nativo,16384,10,0.004497,1
